price,region,address,bedrooms,bathrooms
1799999,"Clarington, ON","493 TOWNLINE RD N, Clarington, Ontario",4,3
1639000,"Clarington, ON","202 CROMBIE ST, Clarington, Ontario",4,4
1499999,"Clarington, ON","1363 TOWNLINE RD N, Clarington, Ontario",4,3
897900,"Clarington, ON","16 LONGWOOD CRT, Clarington, Ontario",3,3
1099900,"Clarington, ON","225 LIBERTY ST, Clarington, Ontario",3,2
3899000,"Clarington, ON","10131 LONG SAULT RD, Clarington, Ontario",3,4
879990,"Clarington, ON","262 SWINDELLS ST, Clarington, Ontario",3,3
1549900,"Clarington, ON","197 DOUGLAS KEMP CRES, Clarington, Ontario",4,4
999000,"Clarington, ON","75 LIBERTY ST N, Clarington, Ontario",3,2
1799000,"Clarington, ON","2 LARKIN LANE, Clarington, Ontario",4,5
1099000,"Clarington, ON","91 LAPRADE SQ, Clarington, Ontario",4,3
899999,"Clarington, ON","10 DEPEW LANE, Clarington, Ontario",3,3
1080000,"Clarington, ON","112 MCBRIDE AVE, Clarington, Ontario",3,3
1200000,"Clarington, ON","37 LYLE DR, Clarington, Ontario",2,2
999990,"Clarington, ON","2480 RUNDLE RD, Clarington, Ontario",4,4
1073990,"Clarington, ON","#1205 -55 CLARINGTON BLVD, Clarington, Ontario",2,3
879000,"Clarington, ON","104 DUKE ST, Clarington, Ontario",2,1
1799000,"Clarington, ON","3657 CONCESSION 4 RD, Clarington, Ontario",2,1
3500000,"Clarington, ON","1953 HIGHWAY 2 RD, Clarington, Ontario",3,1
3500000,"Clarington, ON","2571 SOLINA RD, Clarington, Ontario",3,2
1800000,"Clarington, ON","3741 LAKESHORE RD E, Clarington, Ontario",4,5
3950000,"Clarington, ON","1610 CONCESSION ROAD 7 RD, Clarington, Ontario",3,4
2599900,"Clarington, ON","24 TAMBLYN RD, Clarington, Ontario",3,3
599900,"Brock, ON","616 SIMCOE ST, Brock, Ontario",2,1
999900,"Brock, ON","2105 CONCESSION 6 RD, Brock, Ontario",3,3
599900,"Brock, ON","616 SIMCOE Street, Beaverton, Ontario",2,1
749900,"Brock, ON","80 CAMERON ST, Brock, Ontario",4,2
599900,"Brock, ON","310 LAKELAND CRES, Brock, Ontario",3,2
699000,"Brock, ON","40658 SHORE Road, Beaverton, Ontario",4,1
589900,"Brock, ON","140 LAIDLAW ST S, Brock, Ontario",3,1
699000,"Brock, ON","40658 SHORE RD, Brock, Ontario",4,1
2998000,"Brock, ON","31750 SIMCOE ST, Brock, Ontario",3,4
1500000,"Brock, ON","24255 SIDEROAD 17 RD, Brock, Ontario",4,3
799000,"Brock, ON","4 ART WELSH LANE, Brock, Ontario",3,3
899000,"Brock, ON","111 TERRY CLAYTON AVE, Brock, Ontario",4,4
999900,"Brock, ON","133 TERRY CLAYTON AVE, Brock, Ontario",4,3
899000,"Brock, ON","111 TERRY CLAYTON Avenue, Beaverton, Ontario",4,4
989000,"Brock, ON","420 CENTRE ST, Brock, Ontario",3,4
749900,"Brock, ON","264 CHURCH ST, Brock, Ontario",3,2
999900,"Brock, ON","52 POLLOCK AVE, Brock, Ontario",3,3
679900,"Brock, ON","517 HIGHLAND CRES, Brock, Ontario",3,3
1690000,"Brock, ON","C205 DURHAM REG RD 12, Brock, Ontario",5,2
935000,"Brock, ON","16 DON HADDEN CRES, Brock, Ontario",3,3
1450000,"Brock, ON","16970 SIDEROAD 18A RD, Brock, Ontario",0,0
989000,"Brock, ON","672 SIMCOE ST, Brock, Ontario",3,2
1299000,"Brock, ON","3 PATRICIA CRES, Brock, Ontario",4,4
799999,"Brock, ON","17 LAIDLAW ST S, Brock, Ontario",7,2
2700000,"Brock, ON","690 THORAH CONCESSION 2 RD, Brock, Ontario",4,3
479000,"Brock, ON","40630 & 40632 SHORE RD, Brock, Ontario",3,2
4750000,"Brock, ON","735 CONCESSION 9 RD, Brock, Ontario",4,3
599900,"Oshawa, ON","58 WAVERLY ST S, Oshawa, Ontario",3,2
700000,"Oshawa, ON","1138 WAKEFIELD CRES, Oshawa, Ontario",3,1
499000,"Oshawa, ON","60 BROCK ST E, Oshawa, Ontario",3,3
799000,"Oshawa, ON","759 ADELAIDE AVE, Oshawa, Ontario",3,2
549000,"Oshawa, ON","#41 -350 CAMELOT CRT, Oshawa, Ontario",3,2
899900,"Oshawa, ON","180 SHERWOOD AVE, Oshawa, Ontario",3,2
1159000,"Oshawa, ON","419 COMPTON CRES, Oshawa, Ontario",3,4
899900,"Oshawa, ON","1427 ASHGROVE CRES, Oshawa, Ontario",3,4
1099000,"Oshawa, ON","1120 TALL PINE AVE, Oshawa, Ontario",3,4
1399999,"Oshawa, ON","344 NINA CRT, Oshawa, Ontario",4,4
699900,"Oshawa, ON","211 MADAWASKA AVE, Oshawa, Ontario",3,1
1025000,"Oshawa, ON","433 MILTON ST, Oshawa, Ontario",3,2
779000,"Oshawa, ON","157 CENTRE ST S, Oshawa, Ontario",3,3
999000,"Oshawa, ON","1335 CRONK CRT, Oshawa, Ontario",3,4
529999,"Oshawa, ON","#416 -1800 SIMCOE ST N, Oshawa, Ontario",3,3
769900,"Oshawa, ON","#37 -811 WILSON RD N, Oshawa, Ontario",3,2
679999,"Oshawa, ON","115 WAYNE AVE, Oshawa, Ontario",3,2
1100000,"Oshawa, ON","851 FLORELL DR, Oshawa, Ontario",3,2
789000,"Oshawa, ON","168 ANNIS ST, Oshawa, Ontario",3,3
749000,"Oshawa, ON","1052 SOUTHPORT DR, Oshawa, Ontario",3,3
599000,"Oshawa, ON","126 VANCOUVER ST, Oshawa, Ontario",3,2
1025000,"Oshawa, ON","433 MILTON Street, Oshawa, Ontario",3,2
679999,"Oshawa, ON","115 WAYNE Avenue, Oshawa, Ontario",3,2
727777,"Oshawa, ON","#5 -33 TAUNTON RD E, Oshawa, Ontario",2,2
899900,"Oshawa, ON","1720 RADCLIFFE DR, Oshawa, Ontario",3,3
1549000,"Oshawa, ON","554 WINDFIELDS FARM DR W, Oshawa, Ontario",4,5
888888,"Oshawa, ON","89 SARITA PATH, Oshawa, Ontario",3,3
949000,"Oshawa, ON","528 GRANDVIEW ST S, Oshawa, Ontario",3,2
899900,"Oshawa, ON","853 CAPRI CRT, Oshawa, Ontario",3,2
549900,"Oshawa, ON","#44 -1300 OXFORD ST, Oshawa, Ontario",3,2
999000,"Oshawa, ON","1657 ERINDALE CRES, Oshawa, Ontario",3,4
649900,"Oshawa, ON","#100 -1330 TROWBRIDGE DR E, Oshawa, Ontario",3,2
849900,"Oshawa, ON","811 GLENRUSH ST, Oshawa, Ontario",2,2
999000,"Oshawa, ON","1657 ERINDALE Crescent, Oshawa, Ontario",3,4
899000,"Oshawa, ON","1644 SARASOTA CRES, Oshawa, Ontario",3,4
975000,"Oshawa, ON","944 GRANDVIEW ST N, Oshawa, Ontario",4,4
879000,"Oshawa, ON","202 COSGROVE DR, Oshawa, Ontario",4,3
1499000,"Oshawa, ON","2292 SECRETO DR, Oshawa, Ontario",4,3
975000,"Oshawa, ON","42 SUNSET DR, Oshawa, Ontario",5,4
999999,"Oshawa, ON","914 TRADDLES AVE, Oshawa, Ontario",4,4
749900,"Oshawa, ON","365 ARTHUR ST, Oshawa, Ontario",3,2
699900,"Oshawa, ON","316 WALMER RD, Oshawa, Ontario",2,2
899900,"Oshawa, ON","179 HARMONY RD N, Oshawa, Ontario",3,2
849900,"Oshawa, ON","770 CAMBRIDGE CRT, Oshawa, Ontario",3,2
649000,"Oshawa, ON","375 ELGIN ST, Oshawa, Ontario",3,3
949999,"Oshawa, ON","233 STEVENSON RD, Oshawa, Ontario",4,2
1149900,"Oshawa, ON","979 COPPERFIELD DR, Oshawa, Ontario",3,4
749000,"Oshawa, ON","226 ALBERT ST, Oshawa, Ontario",3,2
629900,"Oshawa, ON","124 STEVENSON RD N, Oshawa, Ontario",2,3
799900,"Oshawa, ON","1213 CHERRYDOWN DR, Oshawa, Ontario",3,2
649900,"Oshawa, ON","196 CLARKE ST, Oshawa, Ontario",3,1
699999,"Oshawa, ON","892 GENTRY CRES, Oshawa, Ontario",3,2
699900,"Oshawa, ON","871 KING ST E, Oshawa, Ontario",3,2
799900,"Oshawa, ON","689 GIBBONS ST, Oshawa, Ontario",3,3
1090000,"Oshawa, ON","831 DEER VALLEY DR, Oshawa, Ontario",4,4
1280000,"Oshawa, ON","1081 LANGFORD ST, Oshawa, Ontario",4,3
649999,"Oshawa, ON","#9 -601 GALAHAD DR N, Oshawa, Ontario",3,2
929900,"Oshawa, ON","2731 DEPUTY MINISTER PATH, Oshawa, Ontario",3,3
1049900,"Oshawa, ON","1845 SILVERSTONE CRES, Oshawa, Ontario",4,3
1090000,"Oshawa, ON","517 PALMTREE CRES, Oshawa, Ontario",4,4
799900,"Oshawa, ON","735 JASMINE CRES, Oshawa, Ontario",3,2
879900,"Oshawa, ON","243 DARCY ST, Oshawa, Ontario",4,2
999888,"Oshawa, ON","900 JUNIPER ST, Oshawa, Ontario",6,3
899900,"Oshawa, ON","99 NASSAU ST, Oshawa, Ontario",4,4
549999,"Oshawa, ON","141 NASSAU ST, Oshawa, Ontario",3,1
625000,"Oshawa, ON","259 FAREWELL ST, Oshawa, Ontario",3,2
699900,"Oshawa, ON","442 EULALIE AVE, Oshawa, Ontario",2,2
699000,"Oshawa, ON","968 RENFREW CRT, Oshawa, Ontario",3,2
799000,"Oshawa, ON","880 BOURNE CRES, Oshawa, Ontario",4,3
599999,"Oshawa, ON","#216 -1800 SIMCOE ST, Oshawa, Ontario",3,3
999900,"Oshawa, ON","1081 MOUNTVIEW DR, Oshawa, Ontario",3,3
389900,"Oshawa, ON","#44 -43 TAUNTON RD E, Oshawa, Ontario",2,3
1075000,"Oshawa, ON","76 ORCHARD VIEW BLVD, Oshawa, Ontario",2,3
699000,"Oshawa, ON","#64 -1740 SIMCOE ST N, Oshawa, Ontario",3,3
799000,"Oshawa, ON","2341 STEEPLECHASE ST, Oshawa, Ontario",3,3
1299900,"Oshawa, ON","308 KING ST E, Oshawa, Ontario",4,3
599900,"Oshawa, ON","444 DEAN AVE, Oshawa, Ontario",4,2
750000,"Oshawa, ON","182 WINDSOR ST, Oshawa, Ontario",3,2
995900,"Oshawa, ON","1052 DENISE DR, Oshawa, Ontario",4,3
749900,"Oshawa, ON","112 BROCK ST E, Oshawa, Ontario",4,3
1599900,"Oshawa, ON","2355 PILGRIM SQ, Oshawa, Ontario",4,4
979000,"Oshawa, ON","1631 COLDSTREAM DR, Oshawa, Ontario",4,4
1299000,"Oshawa, ON","1852 GRANDVIEW ST N, Oshawa, Ontario",4,4
799000,"Oshawa, ON","709 KEATES AVE, Oshawa, Ontario",4,2
759999,"Oshawa, ON","80 FISHER ST, Oshawa, Ontario",4,2
888800,"Oshawa, ON","365 ELMGROVE AVE, Oshawa, Ontario",2,2
999900,"Oshawa, ON","589 TENNYSON AVE, Oshawa, Ontario",3,2
