price,region,address,bedrooms,bathrooms
899900,22,"179 HARMONY RD N, Oshawa, Ontario",3,2
849900,22,"770 CAMBRIDGE CRT, Oshawa, Ontario",3,2
649000,22,"375 ELGIN ST, Oshawa, Ontario",3,3
949999,22,"233 STEVENSON RD, Oshawa, Ontario",4,2
1149900,22,"979 COPPERFIELD DR, Oshawa, Ontario",3,4
749000,22,"226 ALBERT ST, Oshawa, Ontario",3,2
629900,22,"124 STEVENSON RD N, Oshawa, Ontario",2,3
799900,22,"1213 CHERRYDOWN DR, Oshawa, Ontario",3,2
649900,22,"196 CLARKE ST, Oshawa, Ontario",3,1
699999,22,"892 GENTRY CRES, Oshawa, Ontario",3,2
699900,22,"871 KING ST E, Oshawa, Ontario",3,2
799900,22,"689 GIBBONS ST, Oshawa, Ontario",3,3
1090000,22,"831 DEER VALLEY DR, Oshawa, Ontario",4,4
1280000,22,"1081 LANGFORD ST, Oshawa, Ontario",4,3
649999,22,"#9 -601 GALAHAD DR N, Oshawa, Ontario",3,2
929900,22,"2731 DEPUTY MINISTER PATH, Oshawa, Ontario",3,3
1049900,22,"1845 SILVERSTONE CRES, Oshawa, Ontario",4,3
1090000,22,"517 PALMTREE CRES, Oshawa, Ontario",4,4
799900,22,"735 JASMINE CRES, Oshawa, Ontario",3,2
879900,22,"243 DARCY ST, Oshawa, Ontario",4,2
999888,22,"900 JUNIPER ST, Oshawa, Ontario",6,3
899900,22,"99 NASSAU ST, Oshawa, Ontario",4,4
549999,22,"141 NASSAU ST, Oshawa, Ontario",3,1
625000,22,"259 FAREWELL ST, Oshawa, Ontario",3,2
699900,22,"442 EULALIE AVE, Oshawa, Ontario",2,2
699000,22,"968 RENFREW CRT, Oshawa, Ontario",3,2
799000,22,"880 BOURNE CRES, Oshawa, Ontario",4,3
599999,22,"#216 -1800 SIMCOE ST, Oshawa, Ontario",3,3
999900,22,"1081 MOUNTVIEW DR, Oshawa, Ontario",3,3
389900,22,"#44 -43 TAUNTON RD E, Oshawa, Ontario",2,3
1075000,22,"76 ORCHARD VIEW BLVD, Oshawa, Ontario",2,3
699000,22,"#64 -1740 SIMCOE ST N, Oshawa, Ontario",3,3
799000,22,"2341 STEEPLECHASE ST, Oshawa, Ontario",3,3
1299900,22,"308 KING ST E, Oshawa, Ontario",4,3
599900,22,"444 DEAN AVE, Oshawa, Ontario",4,2
750000,22,"182 WINDSOR ST, Oshawa, Ontario",3,2
995900,22,"1052 DENISE DR, Oshawa, Ontario",4,3
749900,22,"112 BROCK ST E, Oshawa, Ontario",4,3
1599900,22,"2355 PILGRIM SQ, Oshawa, Ontario",4,4
979000,22,"1631 COLDSTREAM DR, Oshawa, Ontario",4,4
1299000,22,"1852 GRANDVIEW ST N, Oshawa, Ontario",4,4
799000,22,"709 KEATES AVE, Oshawa, Ontario",4,2
759999,22,"80 FISHER ST, Oshawa, Ontario",4,2
888800,22,"365 ELMGROVE AVE, Oshawa, Ontario",2,2
999900,22,"589 TENNYSON AVE, Oshawa, Ontario",3,2
599000,22,"207 COURT ST, Oshawa, Ontario",3,2
1075000,22,"209 FAREWELL ST, Oshawa, Ontario",3,2
800000,22,"423 FAIRLEIGH AVE, Oshawa, Ontario",4,3
1090000,22,"2113 BRIDLE RD, Oshawa, Ontario",4,4
825000,22,"2297 CHEVRON PRINCE PATH, Oshawa, Ontario",4,3
1499000,22,"1385 WOODSTREAM AVE, Oshawa, Ontario",4,4
1399900,22,"228 SHERWOOD CRT, Oshawa, Ontario",4,4
1099999,22,"938 HINTERLAND DR, Oshawa, Ontario",4,3
440000,22,"#904 -44 BOND ST W, Oshawa, Ontario",1,1
699000,22,"909 SYLVIA ST, Oshawa, Ontario",3,2
919999,22,"210 HARMONY RD N, Oshawa, Ontario",3,2
999888,22,"707 MOUNTJOY CRT, Oshawa, Ontario",4,3
1199000,22,"1357 WALLIG AVE, Oshawa, Ontario",4,3
989000,22,"1188 GRANDVIEW ST, Oshawa, Ontario",3,3
999000,22,"347 PRESTON DR, Oshawa, Ontario",6,3
899800,22,"641 TENNYSON AVE, Oshawa, Ontario",3,3
899000,22,"1331 CEDAR ST, Oshawa, Ontario",3,2
725000,22,"489 ATHOL ST E, Oshawa, Ontario",3,2
988800,22,"750 PASCOE CRT, Oshawa, Ontario",4,5
1149900,22,"1362 BAYNES AVE, Oshawa, Ontario",4,3
1399000,22,"1855 DOUGLAS LANGTREE DR, Oshawa, Ontario",4,6
699999,22,"2240 CHEVRON PRINCE PATH, Oshawa, Ontario",4,3
789000,22,"2636 DEPUTY MINISTER PATH, Oshawa, Ontario",3,3
995000,22,"2641 DEPUTY MINISTER PATH, Oshawa, Ontario",3,3
899900,22,"2272 CHEVRON PRINCE PATH, Oshawa, Ontario",4,3
1175000,22,"362 COMPTON CRES, Oshawa, Ontario",3,2
899900,22,"303 FERNHILL BLVD, Oshawa, Ontario",3,4
649000,22,"226 WILSON RD S, Oshawa, Ontario",3,2
879900,22,"273 WINDSOR ST, Oshawa, Ontario",3,2
849000,22,"430 GLENDALE AVE, Oshawa, Ontario",3,2
999000,22,"1143 TALL PINE AVE, Oshawa, Ontario",4,3
1100000,22,"207 RYERSON CRES, Oshawa, Ontario",3,4
1299000,22,"642 CONLIN RD W, Oshawa, Ontario",4,3
799900,22,"1785 WOODGATE TR, Oshawa, Ontario",3,3
899000,22,"529 GALAHAD DR, Oshawa, Ontario",3,3
899900,22,"294 WOLFE ST, Oshawa, Ontario",3,2
949000,22,"1046 COPPERFIELD DR, Oshawa, Ontario",3,4
1199000,22,"1294 HARLSTONE CRES, Oshawa, Ontario",4,4
899900,22,"1887 DALHOUSIE CRES, Oshawa, Ontario",3,4
649900,22,"93 GREAT GABE CRES, Oshawa, Ontario",2,2
1199000,22,"836 BARBADOS ST, Oshawa, Ontario",3,3
795000,22,"593 BOND ST E, Oshawa, Ontario",2,2
589900,22,"71 GRENFELL ST, Oshawa, Ontario",2,1
1149000,22,"141 ROSSLAND RD W, Oshawa, Ontario",3,2
749000,22,"565 GRIERSON ST, Oshawa, Ontario",3,2
549900,22,"#50 -401 WENTWORTH ST W, Oshawa, Ontario",3,1
